ngram,COMP,NEG,NEUT,POS
꺼멓/VA 고/EC,0,0,0,1
꺼멓/VA 고/EC 번들번들/MAG,0,0,0,1
꺾이/VV,0,1,0,0
껍데기/NNG,0,1,0,0
껍데기/NNG 만/JX,0,1,0,0
껍데기/NNG 만/JX 남/VV,0,1,0,0
껍질/NNG,0,1,0,0
께/JKB,0,0,0,3
꼬/VV,0,1,0,0
꼭/MAG,0,0,0,3
꼭/MAG 필요/NNG,0,0,0,2
꼭/MAG 필요/NNG 하/XSA,0,0,0,2
꼴/XSN,0,0,0,1
꼼꼼/XR,0,0,0,1
꼼꼼/XR 하/XSA,0,0,0,1
꼼꼼/XR 하/XSA 게/EC,0,0,0,1
꼽/VV,0,0,0,2
꼽/VV 을/ETM,0,0,0,1
꼽/VV 을/ETM 만/NNB,0,0,0,1
꼽히/VV,0,0,0,2
꽃/NNG,0,0,0,3
꽃/NNG 보다/JKB,0,0,0,1
꽃/NNG 보다/JKB 더/MAG,0,0,0,1
꽃/NNG 을/JKO,0,0,0,2
꽃/NNG 을/JKO 피우/VV,0,0,0,2
꽃잎/NNG,0,0,0,1
꽃잎/NNG 처럼/JKB,0,0,0,1
꽃잎/NNG 처럼/JKB 화려/XR,0,0,0,1
꽤/MAG,0,0,0,1
꽤/MAG 맞/VV,0,0,0,1
꽤/MAG 맞/VV 아/EC,0,0,0,1
꾸/VV,0,0,1,0
꾸/VV 었/EP,0,0,1,0
꾸/VV 었/EP 는지/EC,0,0,1,0
꾸미/VV,0,0,0,1
꾸미/VV 어/EC,0,0,0,1
꾸미/VV 어/EC 지/VX,0,0,0,1
꾸준히/MAG,0,0,0,2
꾸준히/MAG 문제/NNG,0,0,0,1
꾸준히/MAG 문제/NNG 를/JKO,0,0,0,1
꾸짖/VV,0,1,0,0
꾼/XSN,0,2,0,1
꿀/NNG,0,1,0,1
꿀/NNG 을/JKO,0,1,0,0
꿀/NNG 을/JKO 빨/VV,0,1,0,0
꿀/NNG 혼자/NNG,0,0,0,1
꿀/NNG 혼자/NNG 만/JX,0,0,0,1
꿀단지/NNG,0,0,0,1
꿀단지/NNG 가지/VV,0,0,0,1
꿀단지/NNG 가지/VV 어다/EC,0,0,0,1
꿀통/NNG,0,0,0,1
꿀통/NNG 하나/NR,0,0,0,1
꿀통/NNG 하나/NR 얻/VV,0,0,0,1
꿈/NNG,0,0,3,4
꿈/NNG 만/JX,0,0,0,1
꿈/NNG 만/JX 같/VA,0,0,0,1
꿈/NNG 에/JKB,0,0,1,0
꿈/NNG 에/JKB 나비/NNG,0,0,1,0
꿈/NNG 에서/JKB,0,0,1,0
꿈/NNG 에서/JKB 깨/VV,0,0,1,0
꿈/NNG 을/JKO,0,0,1,1
꿈/NNG 을/JKO 갖/VV,0,0,0,1
꿈/NNG 을/JKO 꾸/VV,0,0,1,0
꿈/NNG 이/JKS,0,0,0,1
꿈/NNG 이/JKS 부끄럽/VA,0,0,0,1
꿈/NNG 이/VCP,0,0,0,1
꿈/NNG 이/VCP 었/EP,0,0,0,1
꿈꾸/VV,0,0,0,2
꿈꾸/VV 었/EP,0,0,0,1
꿈꾸/VV 었/EP 네/EC,0,0,0,1
끄덕이/VV,0,0,0,1
끈끈/XR,0,0,0,1
끈끈/XR 하/XSA,0,0,0,1
끈끈/XR 하/XSA 게/EC,0,0,0,1
끈적끈적/MAG,0,0,1,0
끊/VV,0,1,0,2
끊/VV 어/EC,0,1,0,1
끊/VV 어/EC 버리/VX,0,0,0,1
끊/VV 어/EC 지/VX,0,1,0,0
끊기/VV,0,1,0,0
끊임없이/MAG,0,0,0,2
끊임없이/MAG 반문/NNG,0,0,0,1
끊임없이/MAG 반문/NNG 하/XSV,0,0,0,1
끊임없이/MAG 파고들/VV,0,0,0,1
끌/VV,0,0,0,8
끌어당기/VV,0,0,0,1
끝/NNG,0,2,0,3
끝/NNG 가/VV,0,1,0,0
끝/NNG 가/VV ㄴ/ETM,0,1,0,0
끝/NNG 까지/JX,0,1,0,1
끝/NNG 까지/JX 반대/NNG,0,1,0,0
끝/NNG 까지/JX 지키/VV,0,0,0,1
끝/NNG 에/JKB,0,0,0,1
끝/NNG 이/JKS,0,0,0,1
끝/NNG 이/JKS 여물/VA,0,0,0,1
끝내/VV,0,1,0,0
끼/NNG,0,0,0,1
ㄴ/ETM,5,55,7,222
ㄴ/ETM 가슴/NNG,0,0,0,1
ㄴ/ETM 가슴/NNG 은/JX,0,0,0,1
ㄴ/ETM 감/NNG,0,0,0,1
ㄴ/ETM 감/NNG 이/JKS,0,0,0,1
ㄴ/ETM 감동/NNG,0,0,0,1
ㄴ/ETM 감동/NNG 으로/JKB,0,0,0,1
ㄴ/ETM 값/NNG,0,0,0,3
ㄴ/ETM 값/NNG 으로/JKB,0,0,0,1
ㄴ/ETM 개념/NNG,0,0,0,1
ㄴ/ETM 개념/NNG 만/JX,0,0,0,1
ㄴ/ETM 개조/NNG,0,1,0,0
ㄴ/ETM 개조/NNG 과제/NNG,0,1,0,0
ㄴ/ETM 거/NNB,0,1,0,0
ㄴ/ETM 거/NNB 이/VCP,0,1,0,0
ㄴ/ETM 건배/NNG,0,0,0,1
ㄴ/ETM 것/NNB,0,2,1,26
ㄴ/ETM 것/NNB 같/VA,0,0,0,5
ㄴ/ETM 것/NNB 도/JX,0,0,0,2
ㄴ/ETM 것/NNB 들/XSN,0,0,0,1
ㄴ/ETM 것/NNB 만/JX,0,0,0,1
ㄴ/ETM 것/NNB 으로/JKB,0,0,0,1
ㄴ/ETM 것/NNB 을/JKO,0,0,0,2
ㄴ/ETM 것/NNB 이/JKC,0,0,0,1
ㄴ/ETM 것/NNB 이/JKS,0,1,0,4
ㄴ/ETM 것/NNB 이/VCP,0,0,1,8
ㄴ/ETM 것/NNB 처럼/JKB,0,0,0,1
ㄴ/ETM 결혼/NNG,0,0,0,1
ㄴ/ETM 결혼/NNG 을/JKO,0,0,0,1
ㄴ/ETM 경험/NNG,0,0,0,1
ㄴ/ETM 고객/NNG,0,0,0,1
ㄴ/ETM 고구려/NNP,0,0,0,1
ㄴ/ETM 고구려/NNP 벽화/NNG,0,0,0,1
ㄴ/ETM 곳/NNG,0,0,0,1
ㄴ/ETM 곳/NNG 에서/JKB,0,0,0,1
ㄴ/ETM 공간/NNG,0,0,0,1
ㄴ/ETM 공간/NNG 이/JKS,0,0,0,1
ㄴ/ETM 과오/NNG,0,1,0,0
ㄴ/ETM 과오/NNG 를/JKO,0,1,0,0
ㄴ/ETM 과제/NNG,0,1,0,1
ㄴ/ETM 과제/NNG 가*/JKS,0,0,0,1
ㄴ/ETM 과제/NNG 로/JKB,0,1,0,0
ㄴ/ETM 관계/NNG,0,1,0,0
ㄴ/ETM 관계/NNG 는/JX,0,1,0,0
ㄴ/ETM 그/NP,0,0,0,2
ㄴ/ETM 그/NP 는/JX,0,0,0,1
ㄴ/ETM 그/NP 를/JKO,0,0,0,1
ㄴ/ETM 그대로/MAG,0,0,0,1
ㄴ/ETM 그룹/NNG,0,0,0,1
ㄴ/ETM 그룹/NNG 이/VCP,0,0,0,1
ㄴ/ETM 극장/NNG,0,0,0,1
ㄴ/ETM 극장/NNG 공연/NNG,0,0,0,1
ㄴ/ETM 기금/NNG,0,0,0,1
ㄴ/ETM 기나길/VA,0,0,0,1
ㄴ/ETM 기나길/VA ㄴ/ETM,0,0,0,1
ㄴ/ETM 기량/NNG,0,0,0,1
ㄴ/ETM 기록/NNG,0,0,0,1
ㄴ/ETM 기록/NNG 이/VCP,0,0,0,1
ㄴ/ETM 기색/NNG,1,0,0,0
ㄴ/ETM 기색/NNG 으로/JKB,1,0,0,0
ㄴ/ETM 기여/NNG,0,0,0,1
ㄴ/ETM 기회/NNG,0,0,0,1
ㄴ/ETM 기회/NNG 를/JKO,0,0,0,1
ㄴ/ETM 길/NNG,0,0,0,1
ㄴ/ETM 김/NNB,0,0,0,1
ㄴ/ETM 김/NNB 에/JKB,0,0,0,1
ㄴ/ETM 깃발/NNG,0,0,0,1
ㄴ/ETM 깃발/NNG 을/JKO,0,0,0,1
ㄴ/ETM 꽃/NNG,0,0,0,1
ㄴ/ETM 꽃/NNG 보다/JKB,0,0,0,1
ㄴ/ETM 꿀/NNG,0,1,0,0
ㄴ/ETM 꿀/NNG 을/JKO,0,1,0,0
ㄴ/ETM 꿈/NNG,0,0,1,0
ㄴ/ETM 꿈/NNG 을/JKO,0,0,1,0
ㄴ/ETM 끝/NNG,0,0,0,1
ㄴ/ETM 끝/NNG 에/JKB,0,0,0,1
ㄴ/ETM 나/NP,0,1,0,2
ㄴ/ETM 나/NP 를/JKO,0,0,0,1
ㄴ/ETM 나/NP 의/JKG,0,1,0,1
ㄴ/ETM 나이/NNG,0,0,0,1
ㄴ/ETM 나이/NNG 의/JKG,0,0,0,1
ㄴ/ETM 내/NP,0,0,2,0
ㄴ/ETM 내/NP 가/JKS,0,0,2,0
ㄴ/ETM 내용/NNG,0,1,0,1
ㄴ/ETM 내용/NNG 들/XSN,0,0,0,1
ㄴ/ETM 내용/NNG 이/JKS,0,1,0,0
ㄴ/ETM 냄새/NNG,0,1,0,0
ㄴ/ETM 노력/NNG,0,0,0,1
ㄴ/ETM 노력/NNG 을/JKO,0,0,0,1
ㄴ/ETM 논란/NNG,0,1,0,0
ㄴ/ETM 논란/NNG 을/JKO,0,1,0,0
ㄴ/ETM 논쟁점/NNG,0,0,0,1
ㄴ/ETM 논쟁점/NNG 을/JKO,0,0,0,1
ㄴ/ETM 누아르/NNG,0,0,0,1
ㄴ/ETM 누아르/NNG 의/JKG,0,0,0,1
ㄴ/ETM 눈/NNG,1,0,0,0
ㄴ/ETM 눈/NNG 으로/JKB,1,0,0,0
ㄴ/ETM 뉴스/NNG,0,0,0,1
ㄴ/ETM 뉴스/NNG 를/JKO,0,0,0,1
ㄴ/ETM 느낌/NNG,0,0,0,2
ㄴ/ETM 느낌/NNG 그대로/MAG,0,0,0,1
ㄴ/ETM 느낌/NNG 에/JKB,0,0,0,1
ㄴ/ETM 다음/NNG,0,0,0,1
ㄴ/ETM 다음/NNG 에/JKB,0,0,0,1
ㄴ/ETM 단지/NNG,0,0,0,1
ㄴ/ETM 단지/NNG 에/JKB,0,0,0,1
ㄴ/ETM 대지/NNG,0,0,0,1
ㄴ/ETM 대지/NNG 를/JKO,0,0,0,1
ㄴ/ETM 데/NNB,0,1,0,2
ㄴ/ETM 데/NNB 다/JX,0,0,0,2
ㄴ/ETM 데/NNB 없이/MAG,0,1,0,0
ㄴ/ETM 도시/NNG,0,0,0,1
ㄴ/ETM 도시/NNG 풍경/NNG,0,0,0,1
ㄴ/ETM 도움/NNG,0,0,0,1
ㄴ/ETM 도움/NNG 이/JKC,0,0,0,1
ㄴ/ETM 도전/NNG,0,1,0,0
ㄴ/ETM 도전/NNG 으로/JKB,0,1,0,0
ㄴ/ETM 독서/NNG,0,0,0,1
ㄴ/ETM 독서/NNG 후/NNG,0,0,0,1
ㄴ/ETM 뒤/NNG,0,0,0,1
ㄴ/ETM 뒤/NNG 에/JKB,0,0,0,1
ㄴ/ETM 듯/NNB,0,0,0,2
ㄴ/ETM 듯/NNB 가파르/VA,0,0,0,1
ㄴ/ETM 만큼/NNB,0,0,0,2
ㄴ/ETM 말/NNG,0,1,0,0
ㄴ/ETM 말/NNG 로/JKB,0,1,0,0
ㄴ/ETM 말씀/NNG,0,0,0,1
ㄴ/ETM 말씀/NNG 의/JKG,0,0,0,1
ㄴ/ETM 맥/NNG,0,1,0,1
ㄴ/ETM 맥/NNG 이/JKS,0,1,0,0
ㄴ/ETM 면/NNG,0,0,0,2
ㄴ/ETM 면/NNG 이/JKS,0,0,0,1
ㄴ/ETM 모든/MM,0,0,0,1
ㄴ/ETM 모든/MM 아버지/NNG,0,0,0,1
ㄴ/ETM 모습/NNG,0,0,0,1
ㄴ/ETM 모습/NNG 을/JKO,0,0,0,1
ㄴ/ETM 몸/NNG,0,2,0,0
ㄴ/ETM 몸/NNG 으로/JKB,0,2,0,0
ㄴ/ETM 문제/NNG,0,0,0,2
ㄴ/ETM 문제/NNG 가/JKS,0,0,0,1
ㄴ/ETM 문제/NNG 도/JX,0,0,0,1
ㄴ/ETM 물살/NNG,0,0,0,1
ㄴ/ETM 물살/NNG 을/JKO,0,0,0,1
ㄴ/ETM 미형/NNG,0,0,0,1
ㄴ/ETM 미형/NNG 캐릭터/NNG,0,0,0,1
ㄴ/ETM 민속품/NNG,0,0,0,1
ㄴ/ETM 민속품/NNG 을/JKO,0,0,0,1
ㄴ/ETM 바/NNB,0,0,0,1
ㄴ/ETM 바/NNB 있/VV,0,0,0,1
ㄴ/ETM 반면/NNG,0,0,0,1
ㄴ/ETM 발현/NNG,0,0,0,1
ㄴ/ETM 발현/NNG 이/VCP,0,0,0,1
ㄴ/ETM 밤/NNG,0,1,0,0
ㄴ/ETM 밤/NNG 길/NNG,0,1,0,0
ㄴ/ETM 배창호/NNP,0,0,0,1
ㄴ/ETM 배창호/NNP 감독/NNG,0,0,0,1
ㄴ/ETM 벗/NNG,0,0,0,1
ㄴ/ETM 벗/NNG 이/VCP,0,0,0,1
ㄴ/ETM 변화/NNG,0,0,0,1
ㄴ/ETM 복수/NNG,0,1,0,0
ㄴ/ETM 부위/NNG,0,0,0,1
ㄴ/ETM 부위/NNG 는/JX,0,0,0,1
ㄴ/ETM 부채/NNG,0,0,0,1
ㄴ/ETM 부채/NNG 를/JKO,0,0,0,1
ㄴ/ETM 분야/NNG,0,0,0,1
ㄴ/ETM 분야/NNG 욕심내/VV,0,0,0,1
ㄴ/ETM 분위기/NNG,0,0,0,1
ㄴ/ETM 분위기/NNG 를/JKO,0,0,0,1
ㄴ/ETM 붓/NNG,0,1,0,0
ㄴ/ETM 붓/NNG 질/XSN,0,1,0,0
ㄴ/ETM 사건/NNG,0,1,0,0
ㄴ/ETM 사람/NNG,0,0,0,3
ㄴ/ETM 사람/NNG 도/JX,0,0,0,1
ㄴ/ETM 사람/NNG 은/JX,0,0,0,1
ㄴ/ETM 사람/NNG 이/JKS,0,0,0,1
ㄴ/ETM 사랑/NNG,0,0,0,1
ㄴ/ETM 사망/NNG,0,0,0,1
ㄴ/ETM 사망/NNG 률/XSN,0,0,0,1
ㄴ/ETM 사회/NNG,0,0,0,1
ㄴ/ETM 사회/NNG 에서/JKB,0,0,0,1
ㄴ/ETM 삶/NNG,0,0,0,3
ㄴ/ETM 삶/NNG 을/JKO,0,0,0,2
ㄴ/ETM 삶/NNG 이/JKS,0,0,0,1
ㄴ/ETM 상태/NNG,0,0,0,1
ㄴ/ETM 상태/NNG 이/VCP,0,0,0,1
ㄴ/ETM 새댁/NNG,0,0,0,1
ㄴ/ETM 생명/NNG,0,0,0,1
ㄴ/ETM 생명/NNG 에/JKB,0,0,0,1
ㄴ/ETM 생산/NNG,0,0,0,1
ㄴ/ETM 생산/NNG 유적/NNG,0,0,0,1
ㄴ/ETM 서방/NNG,0,0,0,1
ㄴ/ETM 서방/NNG 세계/NNG,0,0,0,1
ㄴ/ETM 선진국/NNG,0,0,0,1
ㄴ/ETM 선진국/NNG 그룹/NNG,0,0,0,1
ㄴ/ETM 설명/NNG,0,0,0,1
ㄴ/ETM 설명/NNG 이/JKS,0,0,0,1
ㄴ/ETM 섬/NNG,0,0,0,2
ㄴ/ETM 섬/NNG 을/JKO,0,0,0,1
ㄴ/ETM 섬/NNG 이/VCP,0,0,0,1
ㄴ/ETM 성격/NNG,0,1,0,1
ㄴ/ETM 성격/NNG 을/JKO,0,1,0,0
ㄴ/ETM 성격/NNG 이/VCP,0,0,0,1
ㄴ/ETM 성공/NNG,0,0,0,1
ㄴ/ETM 성공/NNG 을/JKO,0,0,0,1
ㄴ/ETM 성과/NNG,0,0,0,1
ㄴ/ETM 성과/NNG 를/JKO,0,0,0,1
ㄴ/ETM 성과물/NNG,0,0,0,1
ㄴ/ETM 세계/NNG,0,0,0,1
ㄴ/ETM 세계/NNG 화/XSN,0,0,0,1
ㄴ/ETM 셈/NNB,0,0,1,2
ㄴ/ETM 셈/NNB 이/VCP,0,0,1,2
ㄴ/ETM 셈/NNG,0,0,0,1
ㄴ/ETM 셈/NNG 이/VCP,0,0,0,1
ㄴ/ETM 소감/NNG,0,0,0,1
ㄴ/ETM 소리/NNG,0,0,0,2
ㄴ/ETM 수준/NNG,0,1,0,0
ㄴ/ETM 수직/NNG,0,0,1,0
ㄴ/ETM 수직/NNG 성/XSN,0,0,1,0
ㄴ/ETM 숨소리/NNG,0,1,0,0
ㄴ/ETM 시멘트/NNG,0,1,0,0
ㄴ/ETM 시멘트/NNG 덩어리/NNG,0,1,0,0
ㄴ/ETM 시절/NNG,0,0,0,1
ㄴ/ETM 시절/NNG 부터/JX,0,0,0,1
ㄴ/ETM 실현/NNG,0,0,0,1
ㄴ/ETM 심회/NNG,0,1,0,0
ㄴ/ETM 심회/NNG 가/JKS,0,1,0,0
ㄴ/ETM 아들/NNG,0,0,0,1
ㄴ/ETM 아들/NNG 도/JX,0,0,0,1
ㄴ/ETM 아름답/VA,0,0,0,1
ㄴ/ETM 아름답/VA ㅁ/ETN,0,0,0,1
ㄴ/ETM 아침/NNG,0,0,0,1
ㄴ/ETM 아침/NNG 공기/NNG,0,0,0,1
ㄴ/ETM 애정/NNG,0,0,0,1
ㄴ/ETM 애정/NNG 이/JKS,0,0,0,1
ㄴ/ETM 약골/NNG,0,1,0,0
ㄴ/ETM 언로/NNG,0,0,0,1
ㄴ/ETM 얼굴/NNG,0,0,0,1
ㄴ/ETM 얼굴/NNG 뒤/NNG,0,0,0,1
ㄴ/ETM 에너지/NNG,0,0,0,1
ㄴ/ETM 여기/NP,0,0,0,1
ㄴ/ETM 여기/NP ㄴ/JX,0,0,0,1
ㄴ/ETM 여자/NNG,0,0,0,1
ㄴ/ETM 여자/NNG 는/JX,0,0,0,1
ㄴ/ETM 연기/NNG,0,0,0,1
ㄴ/ETM 영감/NNG,0,0,0,1
ㄴ/ETM 영감/NNG 의/JKG,0,0,0,1
ㄴ/ETM 영화/NNG,0,0,0,1
ㄴ/ETM 영화/NNG 를/JKO,0,0,0,1
ㄴ/ETM 왕성/XR,0,0,0,1
ㄴ/ETM 왕성/XR 하/XSA,0,0,0,1
ㄴ/ETM 요지경/NNG,0,1,0,0
ㄴ/ETM 요지경/NNG 의/JKG,0,1,0,0
ㄴ/ETM 욕심/NNG,0,0,0,1
ㄴ/ETM 욕심/NNG 쟁이/XSN,0,0,0,1
ㄴ/ETM 우리/NP,0,0,0,1
ㄴ/ETM 우리/NP 들/XSN,0,0,0,1
ㄴ/ETM 위기/NNG,0,1,0,0
ㄴ/ETM 위기/NNG 의식/NNG,0,1,0,0
ㄴ/ETM 위치/NNG,0,0,0,1
ㄴ/ETM 위치/NNG 를/JKO,0,0,0,1
ㄴ/ETM 유동/NNG,0,0,0,1
ㄴ/ETM 유동/NNG 고객/NNG,0,0,0,1
ㄴ/ETM 유리/NNG,0,0,0,1
ㄴ/ETM 유리/NNG 눈/NNG,0,0,0,1
ㄴ/ETM 음악/NNG,0,1,0,1
ㄴ/ETM 음악/NNG 과/JC,0,0,0,1
ㄴ/ETM 음악/NNG 은/JX,0,1,0,0
ㄴ/ETM 의미/NNG,0,0,0,1
ㄴ/ETM 의미/NNG 에서/JKB,0,0,0,1
ㄴ/ETM 의존/NNG,0,0,0,1
ㄴ/ETM 의존/NNG 성/XSN,0,0,0,1
ㄴ/ETM 의혹/NNG,0,0,0,1
ㄴ/ETM 이런/MM,0,0,0,1
ㄴ/ETM 이런/MM 깨우치/VV,0,0,0,1
ㄴ/ETM 이야기/NNG,0,0,1,0
ㄴ/ETM 이유/NNG,0,1,0,2
ㄴ/ETM 이유/NNG 이/VCP,0,0,0,2
ㄴ/ETM 인기/NNG,0,0,0,2
ㄴ/ETM 인기/NNG 를/JKO,0,0,0,1
ㄴ/ETM 일/NNG,1,2,0,8
ㄴ/ETM 일/NNG 이/JKC,0,1,0,0
ㄴ/ETM 일/NNG 이/JKS,0,0,0,1
ㄴ/ETM 일/NNG 이/VCP,1,1,0,3
ㄴ/ETM 일직선/NNG,0,1,0,0
ㄴ/ETM 일직선/NNG 시멘트/NNG,0,1,0,0
ㄴ/ETM 자/NNB,0,0,0,1
ㄴ/ETM 자/NNB 들/XSN,0,0,0,1
ㄴ/ETM 자아/NNG,0,0,0,1
ㄴ/ETM 자아/NNG 와/JC,0,0,0,1
ㄴ/ETM 작가/NNG,0,0,0,1
ㄴ/ETM 작가/NNG 이/VCP,0,0,0,1
ㄴ/ETM 작품/NNG,0,0,0,1
ㄴ/ETM 작품/NNG 은/JX,0,0,0,1
ㄴ/ETM 잔치/NNG,0,0,0,1
ㄴ/ETM 재산/NNG,0,1,0,0
ㄴ/ETM 재산/NNG 피해/NNG,0,1,0,0
ㄴ/ETM 재주/NNG,0,1,0,0
ㄴ/ETM 재주/NNG 꾼/XSN,0,1,0,0
ㄴ/ETM 적/NNB,0,0,0,2
ㄴ/ETM 적/NNB 이/JKS,0,0,0,2
ㄴ/ETM 전쟁/NNG,0,1,0,0
ㄴ/ETM 전쟁/NNG 범죄/NNG,0,1,0,0
ㄴ/ETM 전제/NNG,0,0,0,1
ㄴ/ETM 전제/NNG 조건/NNG,0,0,0,1
ㄴ/ETM 전화/NNG,0,0,0,1
ㄴ/ETM 전화/NNG 번호/NNG,0,0,0,1
ㄴ/ETM 절대/NNG,0,0,0,1
ㄴ/ETM 절대/NNG 정숙/NNG,0,0,0,1
ㄴ/ETM 절망/NNG,0,1,0,0
ㄴ/ETM 젊음/NNG,0,0,0,1
ㄴ/ETM 젊음/NNG 의/JKG,0,0,0,1
ㄴ/ETM 점/NNG,0,0,0,1
ㄴ/ETM 점/NNG 을/JKO,0,0,0,1
ㄴ/ETM 정책/NNG,0,1,0,0
ㄴ/ETM 정책/NNG 의/JKG,0,1,0,0
ㄴ/ETM 제품/NNG,0,0,0,2
ㄴ/ETM 제품/NNG 의/JKG,0,0,0,1
ㄴ/ETM 제품/NNG 이/JKS,0,0,0,1
ㄴ/ETM 조치/NNG,0,0,0,1
ㄴ/ETM 주문/NNG,0,0,0,1
ㄴ/ETM 주문/NNG 이/VCP,0,0,0,1
ㄴ/ETM 줄/NNB,0,0,0,1
ㄴ/ETM 줄/NNB 알/VV,0,0,0,1
ㄴ/ETM 즐거움/NNG,0,0,0,1
ㄴ/ETM 지금/MAG,0,0,0,1
ㄴ/ETM 진단/NNG,0,0,0,1
ㄴ/ETM 진단/NNG 을/JKO,0,0,0,1
ㄴ/ETM 진실/NNG,0,0,0,1
ㄴ/ETM 진실/NNG 하/XSA,0,0,0,1
ㄴ/ETM 질문/NNG,0,0,0,1
ㄴ/ETM 질문/NNG 들/XSN,0,0,0,1
ㄴ/ETM 집/NNG,0,0,0,1
ㄴ/ETM 집/NNG 도/JX,0,0,0,1
ㄴ/ETM 짓/NNG,0,1,0,0
ㄴ/ETM 짓/NNG 이/VCP,0,1,0,0
ㄴ/ETM 창작곡/NNG,0,0,0,1
ㄴ/ETM 창작곡/NNG 중심/NNG,0,0,0,1
ㄴ/ETM 채/NNB,0,1,0,1
ㄴ/ETM 채/NNB 그대로/MAG,0,0,0,1
ㄴ/ETM 채/NNB 줄/NNG,0,1,0,0
ㄴ/ETM 책/NNG,0,0,0,1
ㄴ/ETM 책/NNG 을/JKO,0,0,0,1
ㄴ/ETM 처지/NNG,0,3,0,0
ㄴ/ETM 처지/NNG 에/JKB,0,1,0,0
ㄴ/ETM 처지/NNG 이/VCP,0,1,0,0
ㄴ/ETM 천사/NNG,0,0,0,1
ㄴ/ETM 천진/NNG,0,0,0,1
ㄴ/ETM 천진/NNG 하/XSV,0,0,0,1
ㄴ/ETM 체/NNB,0,1,0,0
ㄴ/ETM 최후/NNG,0,1,0,0
ㄴ/ETM 최후/NNG 를/JKO,0,1,0,0
ㄴ/ETM 침략/NNG,0,2,0,0
ㄴ/ETM 침략/NNG 도/JX,0,1,0,0
ㄴ/ETM 침략/NNG 행위/NNG,0,1,0,0
ㄴ/ETM 칭찬/NNG,1,0,0,0
ㄴ/ETM 키히카/NNP,0,1,0,0
ㄴ/ETM 키히카/NNP 를/JKO,0,1,0,0
ㄴ/ETM 탓/NNG,0,0,0,1
ㄴ/ETM 탓/NNG 이/VCP,0,0,0,1
ㄴ/ETM 태도/NNG,0,0,0,1
ㄴ/ETM 태도/NNG 가/JKS,0,0,0,1
ㄴ/ETM 토론/NNG,1,0,0,0
ㄴ/ETM 통찰력/NNG,0,0,0,1
ㄴ/ETM 통찰력/NNG 으로/JKB,0,0,0,1
ㄴ/ETM 특징/NNG,0,0,0,1
ㄴ/ETM 편/NNB,0,0,0,1
ㄴ/ETM 편/NNB 이/VCP,0,0,0,1
ㄴ/ETM 편견/NNG,0,0,0,1
ㄴ/ETM 편견/NNG 이/JKS,0,0,0,1
ㄴ/ETM 평론가/NNG,0,0,0,1
ㄴ/ETM 폭력/NNG,0,1,0,0
ㄴ/ETM 풍물/NNG,0,0,0,1
ㄴ/ETM 풍물/NNG 이/JKS,0,0,0,1
ㄴ/ETM 프로/NNG,0,0,0,1
ㄴ/ETM 프로/NNG 근성/NNG,0,0,0,1
ㄴ/ETM 학생/NNG,0,1,0,0
ㄴ/ETM 학생/NNG 운동/NNG,0,1,0,0
ㄴ/ETM 학술/NNG,0,0,0,1
ㄴ/ETM 학술/NNG 적/XSN,0,0,0,1
ㄴ/ETM 한/MM,0,1,0,1
ㄴ/ETM 한/MM 소녀/NNG,0,0,0,1
ㄴ/ETM 한/MM 철/NNG,0,1,0,0
ㄴ/ETM 한/NNG,0,0,0,1
ㄴ/ETM 한/NNG 가장/MAG,0,0,0,1
ㄴ/ETM 한국/NNP,0,0,0,1
ㄴ/ETM 한국/NNP 의/JKG,0,0,0,1
ㄴ/ETM 해/NNG,0,0,0,1
ㄴ/ETM 해/NNG 만/JX,0,0,0,1
ㄴ/ETM 해결/NNG,0,0,0,1
ㄴ/ETM 햇살/NNG,0,0,0,1
ㄴ/ETM 현실/NNG,0,0,0,1
ㄴ/ETM 현실/NNG 에/JKB,0,0,0,1
ㄴ/ETM 형식/NNG,0,0,0,1
ㄴ/ETM 형태/NNG,0,1,0,0
ㄴ/ETM 형태/NNG 의/JKG,0,1,0,0
ㄴ/ETM 환상/NNG,0,0,0,1
ㄴ/ETM 후/NNG,0,0,0,1
ㄴ/ETM 후/NNG 새롭/VA,0,0,0,1
ㄴ/ETM 힘/NNG,0,0,0,1
ㄴ/ETM 힘/NNG 이/JKC,0,0,0,1
ㄴ/JX,0,2,0,20
ㄴ/JX 곧/MAG,0,0,0,1
ㄴ/JX 곧/MAG 파멸/NNG,0,0,0,1
ㄴ/JX 관심/NNG,0,1,0,0
ㄴ/JX 관심/NNG 이/JKS,0,1,0,0
ㄴ/JX 근절/NNG,0,0,0,1
ㄴ/JX 근절/NNG 되/XSV,0,0,0,1
ㄴ/JX 누구/NP,0,0,0,1
ㄴ/JX 누구/NP 도/JX,0,0,0,1
ㄴ/JX 다시/MAG,0,0,0,1
ㄴ/JX 다시/MAG 처음/NNG,0,0,0,1
ㄴ/JX 더/MAG,0,0,0,1
ㄴ/JX 더/MAG 미치/VV,0,0,0,1
ㄴ/JX 말/NNG,0,1,0,0
ㄴ/JX 말/NNG 하/XSV,0,1,0,0
ㄴ/JX 무엇/NP,0,0,0,1
ㄴ/JX 무엇/NP 을/JKO,0,0,0,1
ㄴ/JX 미치/VV,0,0,0,1
ㄴ/JX 미치/VV ㄴ/ETM,0,0,0,1
ㄴ/JX 바람직/XR,0,0,0,1
ㄴ/JX 바람직/XR 하/XSA,0,0,0,1
ㄴ/JX 사랑/NNG,0,0,0,1
ㄴ/JX 사랑/NNG 이/VCP,0,0,0,1
